Test: 1
Seed: -1155869325,Puntos: 1000000
Valor Pi,Tiempo de Ejecucion
3.456916,34.0
3.770448,35.0
3.770448,36.0
3.770448,36.0
3.770448,37.0
3.770448,37.0
3.770448,38.0
4.085184,38.0
4.399032,39.0
4.713044,40.0
Promedio Pi,3.9276864000000002
Promedio Tiempo,37.0ms
Nodos,5

Test: 2
Seed: -1154715079,Puntos: 100000000
Valor Pi,Tiempo de Ejecucion
3.135136,771.0
3.14141684,772.0
3.14141684,773.0
3.14455584,773.0
3.14770032,774.0
3.14770032,775.0
3.15397764,775.0
3.15397764,776.0
3.15397764,777.0
3.1602632,778.0
Promedio Pi,3.1480122280000002
Promedio Tiempo,774.4ms
Nodos,5

Test: 3
Seed: -1155099828,Puntos: 10000000000
Valor Pi,Tiempo de Ejecucion
3.1415614224,71746.0
3.1416240524,71746.0
3.1416554968,71747.0
3.1416554968,71747.0
3.1416554968,71748.0
3.1417182028,71750.0
3.1417496108,71751.0
3.1417496108,71751.0
3.1417496108,71752.0
3.1417496108,71752.0
Promedio Pi,3.1416868611199993
Promedio Tiempo,71749.0ms
Nodos,5


